Parte;CapituloNumero;ParteCapitulo;Capitulo;Total caracteres;Total palabras;Longitud media frases;Palabras lexicas;Palabras funcionales;Densidad lexica;Indice legilibilidad F.H.;"Frecuencia ""Quijote""";"Frecuencia ""Sancho""";GrupoQS0-QSN;Ranking-LongMediaFrases;Ranking-IndLeg;Qnn+Snn<=3
1;01;1-C01;1-C01-q04s00.txt;10477;1894;64,64;813;917;0,43;27,92;4;0;QnnSnn;14;116;
1;02;1-C02;1-C02-q13s00.txt;12528;2222;70,62;989;1061;0,45;22,22;13;0;QnnSnn;7;124;
1;03;1-C03;1-C03-q17s01.txt;12974;2332;73,38;1041;1132;0,45;19,8;17;1;QnnSnn;4;125;
1;10;1-C10;1-C10-q17s21.txt;10581;1932;48,94;841;897;0,44;44,96;17;21;QnnSnn;103;24;
1;05;1-C05;1-C05-q11s00.txt;8756;1612;62,53;664;773;0,41;33,12;11;0;QnnSnn;23;97;
1;04;1-C04;1-C04-q19s00.txt;13484;2453;49,47;1085;1162;0,44;43,01;19;0;QnnSnn;96;39;
1;11;1-C11;1-C11-q08s10.txt;12136;2138;46,14;963;1019;0,45;44,95;8;10;QnnSnn;115;25;
1;06;1-C06;1-C06-q00s00.txt;13854;2530;38,18;1056;1189;0,42;55,36;0;0;Q00S00;126;1;0
1;08;1-C08;1-C08-q30s22.txt;16586;2995;51,69;1332;1393;0,44;40,14;30;22;QnnSnn;82;56;
1;09;1-C09;1-C09-q12s03.txt;10890;1975;70,97;847;968;0,43;23,28;12;3;QnnSnn;6;123;
1;07;1-C07;1-C07-q17s09.txt;10222;1869;49,32;808;885;0,43;44,58;17;9;QnnSnn;98;27;
1;12;1-C12;1-C12-q09s02.txt;12554;2325;43,44;979;1147;0,42;50,06;9;2;QnnSnn;122;5;
1;14;1-C14;1-C14-q05s00.txt;16492;2913;52,47;1301;1413;0,45;41,51;5;0;QnnSnn;77;50;
1;13;1-C13;1-C13-q18s02.txt;19618;3515;55,36;1483;1699;0,42;35,6;18;2;QnnSnn;61;85;
1;16;1-C16;1-C16-q23s17.txt;15469;2797;51,85;1244;1323;0,44;39,39;23;17;QnnSnn;80;61;
1;18;1-C18;1-C18-q32s44.txt;21616;3880;56,13;1655;1806;0,43;38,15;32;44;QnnSnn;54;67;
